"","cidade","area","comodos","banheiros","vagas","andares","animais","mobilia","condominio","aluguel","iptu","seguro","somatorio","cod","andares_new","animais_new","mobilia_new"
"1833","Porto Alegre",62,3,2,1,"1","not acept","not furnished",485,1629,54,24,2192,1833,1,0,0
"1834","Rio de Janeiro",111,3,2,2,"11","acept","furnished",1100,3500,325,46,4971,1834,11,1,1
"1835","Campinas",159,3,2,2,"1","acept","not furnished",1000,2500,334,32,3866,1835,1,1,0
"1836","Rio de Janeiro",70,2,2,0,"5","acept","furnished",690,2250,100,29,3069,1836,5,1,1
"1840","Belo Horizonte",64,2,1,1,"2","acept","not furnished",252,850,78,12,1192,1840,2,1,0
"1848","Belo Horizonte",30,1,1,0,"2","not acept","not furnished",0,550,0,8,558,1848,2,0,0
"1850","Rio de Janeiro",87,3,1,1,"7","acept","not furnished",786,1800,159,24,2769,1850,7,1,0
"1851","Porto Alegre",50,1,1,1,"7","acept","not furnished",250,800,0,12,1062,1851,7,1,0
"1852","Porto Alegre",50,1,1,0,"6","acept","not furnished",400,800,20,12,1232,1852,6,1,0
"1856","Campinas",58,1,2,1,"10","not acept","not furnished",850,750,40,10,1650,1856,10,0,0
"1859","Rio de Janeiro",80,2,2,1,"2","not acept","not furnished",1050,3500,167,46,4763,1859,2,0,0
"1860","Porto Alegre",62,2,2,1,"10","acept","not furnished",480,1600,9,24,2113,1860,10,1,0
"1861","Porto Alegre",66,2,2,0,"3","acept","not furnished",550,1200,50,18,1818,1861,3,1,0
"1866","Rio de Janeiro",81,2,2,1,"8","acept","furnished",615,3500,225,46,4386,1866,8,1,1
"1868","Campinas",54,2,1,2,"6","acept","not furnished",300,1200,46,16,1562,1868,6,1,0
"1869","Rio de Janeiro",60,2,1,0,"0","not acept","not furnished",0,1200,0,19,1219,1869,0,0,0
"1870","Belo Horizonte",100,3,1,1,"2","acept","not furnished",150,1200,0,16,1366,1870,2,1,0
"1878","Campinas",462,4,7,4,"0","acept","not furnished",0,5000,590,76,5666,1878,0,1,0
"1879","Campinas",67,3,1,1,"1","not acept","not furnished",351,890,40,12,1293,1879,1,0,0
"1880","Belo Horizonte",100,2,1,0,"0","acept","not furnished",0,1200,63,20,1283,1880,0,1,0
"1881","Belo Horizonte",113,3,3,1,"1","acept","not furnished",350,1100,88,15,1553,1881,1,1,0
"1885","Porto Alegre",38,1,1,1,"5","acept","not furnished",342,980,51,15,1388,1885,5,1,0
"1886","Campinas",100,3,1,1,"7","acept","not furnished",999,1090,94,14,2197,1886,7,1,0
"1887","Rio de Janeiro",135,4,2,2,"7","acept","not furnished",1378,4200,468,55,6101,1887,7,1,0
"1888","Rio de Janeiro",130,3,2,1,"10","acept","furnished",1338,3250,450,42,5080,1888,10,1,1
"1889","Belo Horizonte",80,3,2,1,"1","acept","not furnished",305,1200,122,16,1643,1889,1,1,0
"1891","Belo Horizonte",72,2,1,2,"4","not acept","not furnished",195,1300,97,18,1610,1891,4,0,0
"1894","Porto Alegre",540,6,8,3,"0","acept","not furnished",0,15000,467,267,15730,1894,0,1,0
"1896","Belo Horizonte",42,2,1,1,"5","acept","not furnished",170,900,27,12,1109,1896,5,1,0
"1897","Rio de Janeiro",52,1,1,1,"1","acept","not furnished",613,1400,22,19,2054,1897,1,1,0
"1900","Campinas",65,2,2,1,"4","not acept","not furnished",412,1000,45,13,1470,1900,4,0,0
"1903","Belo Horizonte",150,4,3,3,"5","not acept","not furnished",1200,3300,293,44,4837,1903,5,0,0
"1904","Campinas",60,1,1,0,"3","acept","not furnished",250,1300,75,17,1642,1904,3,1,0
"1905","Belo Horizonte",308,4,5,6,"18","acept","furnished",2000,13500,173,180,15850,1905,18,1,1
"1908","Porto Alegre",65,3,2,0,"5","not acept","not furnished",450,1690,86,25,2251,1908,5,0,0
"1910","Campinas",130,3,5,2,"2","acept","not furnished",1170,3610,209,46,5035,1910,2,1,0
"1911","Rio de Janeiro",21,1,1,0,"11","acept","not furnished",519,1200,0,16,1735,1911,11,1,0
"1913","Porto Alegre",40,1,1,0,"4","acept","not furnished",450,900,38,14,1402,1913,4,1,0
"1914","Belo Horizonte",310,4,3,6,"0","acept","not furnished",0,3100,187,51,3338,1914,0,1,0
"1915","Campinas",103,2,1,1,"4","not acept","not furnished",635,1060,84,14,1793,1915,4,0,0
"1916","Rio de Janeiro",650,5,7,4,"0","acept","furnished",4100,15000,4241,229,23570,1916,0,1,1
"1917","Campinas",30,1,1,0,"5","not acept","furnished",380,500,10,7,897,1917,5,0,1
"1918","Belo Horizonte",155,4,5,3,"5","not acept","not furnished",1200,5000,593,67,6860,1918,5,0,0
"1921","Belo Horizonte",70,3,1,0,"3","not acept","not furnished",275,1200,104,16,1595,1921,3,0,0
"1922","Belo Horizonte",58,2,2,1,"4","acept","not furnished",310,950,86,13,1359,1922,4,1,0
"1925","Rio de Janeiro",130,3,2,1,"5","acept","not furnished",1300,2800,300,37,4437,1925,5,1,0
"1927","Rio de Janeiro",60,1,1,1,"10","acept","not furnished",731,1300,54,17,2102,1927,10,1,0
"1929","Porto Alegre",81,2,1,0,"2","acept","not furnished",350,1150,5,17,1522,1929,2,1,0
"1930","Belo Horizonte",306,3,5,0,"0","acept","not furnished",0,8000,0,132,8132,1930,0,1,0
"1937","Rio de Janeiro",58,2,1,1,"10","acept","not furnished",594,800,77,11,1482,1937,10,1,0
"1938","Rio de Janeiro",65,1,1,0,"2","acept","not furnished",350,1800,30,24,2204,1938,2,1,0
"1942","Campinas",176,3,5,3,"3","acept","not furnished",1350,5200,442,66,7058,1942,3,1,0
"1943","Belo Horizonte",350,7,5,4,"0","acept","not furnished",0,7500,357,123,7980,1943,0,1,0
"1946","Rio de Janeiro",65,1,1,0,"10","not acept","furnished",750,3500,142,46,4438,1946,10,0,1
"1947","Rio de Janeiro",600,7,6,1,"12","not acept","furnished",1300,15000,1167,194,17660,1947,12,0,1
"1948","Rio de Janeiro",300,4,3,1,"0","acept","not furnished",0,5000,367,77,5444,1948,0,1,0
"1951","Belo Horizonte",211,3,4,3,"0","not acept","not furnished",0,8400,292,138,8830,1951,0,0,0
"1952","Campinas",103,3,2,1,"9","not acept","not furnished",885,1800,113,23,2821,1952,9,0,0
"1953","Porto Alegre",62,2,2,0,"2","acept","not furnished",400,1556,100,23,2079,1953,2,1,0
"1954","Rio de Janeiro",80,2,2,1,"1","acept","furnished",1100,3499,205,46,4850,1954,1,1,1
"1959","Rio de Janeiro",60,2,1,0,"7","acept","furnished",806,2800,97,37,3740,1959,7,1,1
"1960","Rio de Janeiro",64,2,2,0,"10","acept","not furnished",665,2200,104,29,2998,1960,10,1,0
"1961","Campinas",660,5,7,4,"17","acept","not furnished",5381,10000,1100,127,16610,1961,17,1,0
"1963","Porto Alegre",50,2,1,1,"3","acept","not furnished",180,946,0,14,1140,1963,3,1,0
"1965","Campinas",134,3,3,2,"7","not acept","not furnished",1000,2500,177,32,3709,1965,7,0,0
"1967","Belo Horizonte",68,2,2,1,"5","acept","furnished",1183,2500,207,34,3924,1967,5,1,1
"1968","Rio de Janeiro",33,1,1,0,"2","acept","not furnished",470,1600,72,21,2163,1968,2,1,0
"1973","Porto Alegre",45,1,1,1,"1","not acept","not furnished",30,760,0,12,802,1973,1,0,0
"1976","Rio de Janeiro",650,5,4,2,"9","acept","not furnished",5718,9000,1431,116,16270,1976,9,1,0
"1978","Belo Horizonte",100,4,2,3,"10","acept","not furnished",1027,2600,238,35,3900,1978,10,1,0
"1979","Rio de Janeiro",220,3,3,2,"4","acept","furnished",2500,9000,367,116,11980,1979,4,1,1
"1981","Rio de Janeiro",98,3,2,0,"7","acept","not furnished",891,3000,185,39,4115,1981,7,1,0
"1982","Rio de Janeiro",150,3,1,2,"2","acept","not furnished",3290,5200,710,68,9268,1982,2,1,0
"1987","Porto Alegre",90,2,2,1,"18","not acept","not furnished",500,2500,84,37,3121,1987,18,0,0
"1989","Rio de Janeiro",26,1,1,0,"3","acept","not furnished",325,1200,26,16,1567,1989,3,1,0
"1991","Porto Alegre",24,1,1,1,"0","not acept","not furnished",0,550,0,9,559,1991,0,0,0
"1992","Rio de Janeiro",140,3,2,0,"5","acept","not furnished",350,2900,194,38,3482,1992,5,1,0
"1993","Belo Horizonte",134,4,2,3,"1","not acept","not furnished",650,3000,313,40,4003,1993,1,0,0
"1995","Rio de Janeiro",18,1,1,0,"3","acept","not furnished",628,650,49,9,1336,1995,3,1,0
"1996","Rio de Janeiro",62,1,1,1,"8","acept","not furnished",1550,2800,182,37,4569,1996,8,1,0
"1999","Porto Alegre",38,1,1,1,"9","acept","not furnished",350,2900,42,43,3335,1999,9,1,0
"2000","Belo Horizonte",112,2,3,2,"10","acept","not furnished",442,1400,92,19,1953,2000,10,1,0
"2001","Rio de Janeiro",15,1,1,0,"1","not acept","not furnished",500,1100,0,15,1615,2001,1,0,0
"2003","Belo Horizonte",55,2,1,1,"1","acept","not furnished",200,1050,0,14,1264,2003,1,1,0
"2006","Belo Horizonte",92,3,2,1,"1","acept","not furnished",268,1800,141,24,2233,2006,1,1,0
"2007","Rio de Janeiro",154,4,2,2,"2","acept","not furnished",1850,4250,313,55,6468,2007,2,1,0
"2009","Porto Alegre",28,1,1,0,"1","acept","furnished",0,1340,4,20,1364,2009,1,1,1
"2013","Rio de Janeiro",64,2,1,1,"2","acept","not furnished",0,3500,0,46,3546,2013,2,1,0
"2017","Campinas",85,2,2,0,"6","not acept","not furnished",810,918,98,12,1838,2017,6,0,0
"2018","Rio de Janeiro",75,2,2,1,"9","acept","furnished",650,2000,310,26,2986,2018,9,1,1
"2020","Belo Horizonte",100,3,1,1,"2","acept","not furnished",300,1500,85,20,1905,2020,2,1,0
"2022","Rio de Janeiro",86,3,1,0,"3","acept","not furnished",800,1258,80,17,2155,2022,3,1,0
"2023","Rio de Janeiro",29,1,1,0,"2","acept","not furnished",484,1500,26,20,2030,2023,2,1,0
"2024","Porto Alegre",82,2,2,1,"5","acept","not furnished",450,1700,67,25,2242,2024,5,1,0
"2026","Porto Alegre",47,1,1,1,"1","not acept","furnished",400,2200,0,33,2633,2026,1,0,1
"2028","Campinas",50,1,1,1,"11","not acept","not furnished",650,1800,130,23,2603,2028,11,0,0
"2030","Belo Horizonte",62,3,2,1,"4","not acept","not furnished",230,1100,63,15,1408,2030,4,0,0
"2033","Porto Alegre",68,2,2,1,"1","acept","not furnished",400,1800,82,27,2309,2033,1,1,0
"2035","Porto Alegre",50,2,1,1,"2","acept","not furnished",100,1460,0,22,1582,2035,2,1,0
"2036","Rio de Janeiro",80,2,2,1,"10","acept","not furnished",824,2000,279,26,3129,2036,10,1,0
"2037","Porto Alegre",40,2,1,1,"3","acept","not furnished",300,820,32,12,1164,2037,3,1,0
"2039","Porto Alegre",75,3,1,1,"1","acept","not furnished",360,1100,47,17,1524,2039,1,1,0
"2040","Porto Alegre",60,1,2,2,"15","acept","not furnished",500,2800,17,41,3358,2040,15,1,0
"2042","Belo Horizonte",73,2,1,2,"1","acept","not furnished",150,1200,62,16,1428,2042,1,1,0
"2043","Belo Horizonte",85,2,1,1,"1","acept","not furnished",230,1000,61,14,1305,2043,1,1,0
"2045","Porto Alegre",49,1,1,0,"7","acept","not furnished",310,680,21,10,1021,2045,7,1,0
"2051","Belo Horizonte",622,5,5,6,"0","acept","not furnished",0,10000,924,164,11090,2051,0,1,0
"2052","Belo Horizonte",55,2,1,1,"2","not acept","not furnished",250,1200,67,16,1533,2052,2,0,0
"2053","Rio de Janeiro",42,1,1,0,"12","acept","furnished",600,2300,167,30,3097,2053,12,1,1
"2054","Belo Horizonte",132,3,3,2,"2","acept","not furnished",0,1500,207,20,1727,2054,2,1,0
"2055","Belo Horizonte",53,2,1,0,"6","acept","not furnished",626,850,76,12,1564,2055,6,1,0
"2058","Rio de Janeiro",35,1,1,0,"12","acept","not furnished",350,850,60,11,1271,2058,12,1,0
"2064","Campinas",350,2,2,2,"0","acept","not furnished",0,4300,150,65,4515,2064,0,1,0
"2066","Porto Alegre",61,1,1,0,"0","acept","not furnished",80,1100,160,17,1357,2066,0,1,0
"2068","Porto Alegre",70,2,1,0,"0","acept","furnished",270,1800,23,27,2120,2068,0,1,1
"2069","Rio de Janeiro",60,2,1,1,"10","acept","furnished",520,1500,80,20,2120,2069,10,1,1
"2070","Campinas",296,6,4,8,"0","acept","not furnished",0,5200,375,79,5654,2070,0,1,0
"2071","Rio de Janeiro",96,2,2,1,"10","not acept","furnished",995,2900,109,38,4042,2071,10,0,1
"2074","Campinas",70,3,1,1,"1","acept","not furnished",600,1500,17,20,2137,2074,1,1,0
"2076","Belo Horizonte",67,2,2,2,"3","not acept","not furnished",850,2800,0,38,3688,2076,3,0,0
"2078","Rio de Janeiro",56,2,1,0,"4","acept","not furnished",502,1500,0,20,2022,2078,4,1,0
"2081","Campinas",68,2,1,0,"4","not acept","not furnished",498,930,48,12,1488,2081,4,0,0
"2083","Campinas",120,3,1,1,"3","not acept","not furnished",650,1800,80,23,2553,2083,3,0,0
"2084","Campinas",50,1,1,1,"10","not acept","not furnished",718,1600,13,21,2352,2084,10,0,0
"2085","Campinas",78,2,2,1,"1","acept","not furnished",432,1200,127,16,1775,2085,1,1,0
"2086","Rio de Janeiro",90,2,2,1,"9","acept","not furnished",880,3800,80,49,4809,2086,9,1,0
"2087","Belo Horizonte",320,5,4,6,"0","not acept","not furnished",0,8000,584,132,8716,2087,0,0,0
"2088","Rio de Janeiro",560,5,6,4,"14","acept","not furnished",2190,2633,1133,34,5990,2088,14,1,0
"2089","Rio de Janeiro",25,1,1,0,"8","acept","not furnished",600,1850,25,24,2499,2089,8,1,0
"2090","Porto Alegre",37,1,1,0,"3","acept","not furnished",270,650,23,10,953,2090,3,1,0
"2091","Rio de Janeiro",95,3,1,0,"16","acept","not furnished",1048,3600,283,47,4978,2091,16,1,0
"2093","Belo Horizonte",270,5,4,6,"0","acept","not furnished",0,3910,125,53,4088,2093,0,1,0
"2094","Belo Horizonte",40,1,1,0,"0","not acept","not furnished",0,650,59,11,720,2094,0,0,0
"2095","Belo Horizonte",65,2,2,3,"7","acept","not furnished",366,1450,110,20,1946,2095,7,1,0
"2099","Belo Horizonte",80,3,2,2,"1","acept","furnished",280,2500,126,34,2940,2099,1,1,1
"2100","Belo Horizonte",90,2,1,0,"1","acept","not furnished",0,1000,39,14,1053,2100,1,1,0
"2102","Belo Horizonte",45,1,1,1,"4","not acept","furnished",1550,3400,198,46,5194,2102,4,0,1
"2104","Belo Horizonte",553,4,6,3,"3","not acept","not furnished",2800,10870,1459,145,15270,2104,3,0,0
"2106","Campinas",92,3,2,3,"17","acept","not furnished",643,3700,299,47,4689,2106,17,1,0
"2108","Campinas",114,3,2,1,"4","acept","not furnished",967,1400,176,18,2561,2108,4,1,0
"2110","Porto Alegre",225,1,2,0,"0","acept","not furnished",0,3500,218,63,3781,2110,0,1,0
"2112","Porto Alegre",135,3,3,4,"5","acept","not furnished",200,4000,0,59,4259,2112,5,1,0
"2113","Campinas",150,4,3,4,"0","not acept","not furnished",750,4000,334,61,5145,2113,0,0,0
"2114","Belo Horizonte",190,4,2,0,"10","acept","not furnished",1000,5580,417,75,7072,2114,10,1,0
"2115","Porto Alegre",47,1,1,1,"1","not acept","furnished",400,2200,0,33,2633,2115,1,0,1
"2116","Rio de Janeiro",120,3,1,1,"0","acept","not furnished",0,1150,67,18,1235,2116,0,1,0
"2120","Rio de Janeiro",150,3,2,0,"5","acept","not furnished",1800,2500,200,33,4533,2120,5,1,0
"2121","Rio de Janeiro",35,1,1,0,"3","acept","not furnished",790,2000,86,26,2902,2121,3,1,0
"2122","Porto Alegre",25,1,1,0,"0","not acept","not furnished",0,550,0,9,559,2122,0,0,0
"2125","Rio de Janeiro",20,1,1,0,"0","acept","not furnished",0,700,0,10,710,2125,0,1,0
"2126","Campinas",85,3,2,1,"4","acept","not furnished",690,1341,110,6,2147,2126,4,1,0
"2130","Rio de Janeiro",220,3,2,2,"8","acept","not furnished",1850,3500,265,46,5661,2130,8,1,0
"2131","Belo Horizonte",270,4,3,2,"3","acept","not furnished",1200,4800,241,64,6305,2131,3,1,0
"2132","Porto Alegre",100,3,2,2,"2","acept","not furnished",650,2499,92,37,3278,2132,2,1,0
"2136","Campinas",60,3,2,1,"5","acept","not furnished",366,1200,0,16,1582,2136,5,1,0
"2139","Porto Alegre",109,1,2,2,"3","acept","furnished",496,4300,87,63,4946,2139,3,1,1
"2143","Belo Horizonte",140,4,3,1,"2","acept","not furnished",475,2300,167,31,2973,2143,2,1,0
"2145","Porto Alegre",92,2,2,1,"2","acept","furnished",645,2100,2610,31,5386,2145,2,1,1
"2151","Porto Alegre",450,5,3,6,"0","acept","not furnished",0,4760,94,85,4939,2151,0,1,0
"2152","Rio de Janeiro",68,2,1,0,"5","acept","not furnished",593,1000,400,13,2006,2152,5,1,0
"2154","Rio de Janeiro",69,2,1,1,"9","acept","furnished",500,1370,56,18,1944,2154,9,1,1
"2155","Belo Horizonte",32,1,1,1,"9","acept","not furnished",197,1500,126,20,1843,2155,9,1,0
"2159","Porto Alegre",140,3,3,0,"2","acept","not furnished",750,1700,125,25,2600,2159,2,1,0
"2163","Rio de Janeiro",139,3,2,2,"1","acept","not furnished",2047,6000,540,78,8665,2163,1,1,0
"2164","Belo Horizonte",160,4,3,2,"5","acept","not furnished",763,2300,230,31,3324,2164,5,1,0
"2165","Campinas",60,2,1,1,"0","acept","not furnished",485,800,60,11,1356,2165,0,1,0
"2167","Belo Horizonte",70,2,1,1,"11","acept","not furnished",897,1300,125,18,2340,2167,11,1,0
"2168","Rio de Janeiro",57,2,1,0,"1","acept","not furnished",100,1530,0,20,1650,2168,1,1,0
"2171","Rio de Janeiro",120,3,2,1,"8","acept","not furnished",1470,3550,190,46,5256,2171,8,1,0
"2172","Porto Alegre",200,3,3,4,"2","acept","not furnished",2900,1200,260,18,4378,2172,2,1,0
"2175","Belo Horizonte",70,2,1,2,"1","not acept","not furnished",80,1200,97,16,1393,2175,1,0,0
"2176","Rio de Janeiro",85,2,2,1,"2","acept","furnished",3700,8000,659,104,12460,2176,2,1,1
"2177","Belo Horizonte",140,3,2,0,"2","not acept","not furnished",0,3000,202,40,3242,2177,2,0,0
"2180","Campinas",58,2,1,1,"2","acept","not furnished",280,650,0,9,939,2180,2,1,0
"2181","Rio de Janeiro",110,1,1,2,"3","acept","not furnished",1936,4500,341,58,6835,2181,3,1,0
"2185","Rio de Janeiro",100,3,3,2,"8","acept","not furnished",1167,2700,95,35,3997,2185,8,1,0
"2187","Rio de Janeiro",104,3,1,0,"6","acept","not furnished",784,3500,195,46,4525,2187,6,1,0
"2188","Campinas",70,1,1,1,"2","acept","furnished",290,1600,70,21,1981,2188,2,1,1
"2190","Belo Horizonte",160,4,2,5,"0","acept","furnished",0,3780,167,62,4009,2190,0,1,1
"2191","Belo Horizonte",64,3,1,0,"3","not acept","not furnished",215,1400,27,19,1661,2191,3,0,0
"2193","Campinas",38,1,1,0,"3","not acept","not furnished",376,750,15,10,1151,2193,3,0,0
"2199","Rio de Janeiro",70,2,2,0,"11","acept","not furnished",879,1550,77,20,2526,2199,11,1,0
"2202","Rio de Janeiro",30,1,1,1,"0","acept","not furnished",0,1480,25,20,1525,2202,0,1,0
"2203","Porto Alegre",108,3,2,1,"3","acept","furnished",826,2000,89,30,2945,2203,3,1,1
"2206","Rio de Janeiro",73,2,1,1,"8","acept","not furnished",1022,1100,0,15,2137,2206,8,1,0
"2207","Porto Alegre",45,1,1,1,"3","acept","not furnished",250,1205,72,18,1545,2207,3,1,0
"2210","Belo Horizonte",217,4,3,4,"12","acept","not furnished",2644,6000,1177,80,9901,2210,12,1,0
"2213","Porto Alegre",110,3,3,0,"1","acept","not furnished",400,3250,75,48,3773,2213,1,1,0
"2217","Campinas",60,2,1,1,"1","not acept","not furnished",430,815,20,6,1271,2217,1,0,0
"2221","Porto Alegre",64,2,2,2,"6","acept","not furnished",450,2250,50,33,2783,2221,6,1,0
"2224","Porto Alegre",128,4,3,2,"3","acept","not furnished",1160,4900,409,88,6557,2224,3,1,0
"2226","Campinas",175,3,2,0,"0","not acept","not furnished",0,2000,0,31,2031,2226,0,0,0
"2228","Rio de Janeiro",257,4,3,2,"3","acept","furnished",3250,3800,709,49,7808,2228,3,1,1
"2231","Rio de Janeiro",40,2,1,0,"7","acept","not furnished",335,920,55,12,1322,2231,7,1,0
"2232","Belo Horizonte",297,4,2,3,"6","acept","not furnished",2000,1870,209,15,4094,2232,6,1,0
"2234","Rio de Janeiro",35,1,1,0,"10","not acept","not furnished",498,1200,80,16,1794,2234,10,0,0
"2235","Rio de Janeiro",128,3,3,1,"8","acept","furnished",950,3500,242,46,4738,2235,8,1,1
"2236","Belo Horizonte",59,2,1,1,"2","acept","not furnished",190,1250,70,17,1527,2236,2,1,0
"2237","Rio de Janeiro",400,4,4,2,"0","acept","not furnished",634,11480,1357,175,13640,2237,0,1,0
"2238","Rio de Janeiro",100,3,2,1,"5","not acept","not furnished",980,4500,125,58,5663,2238,5,0,0
"2239","Rio de Janeiro",50,1,1,0,"10","acept","furnished",680,2200,85,29,2994,2239,10,1,1
"2240","Porto Alegre",80,2,2,1,"5","acept","furnished",740,1900,120,28,2788,2240,5,1,1
"2241","Belo Horizonte",68,2,2,2,"4","acept","not furnished",230,1650,154,22,2056,2241,4,1,0
"2243","Rio de Janeiro",161,3,3,3,"14","acept","not furnished",1300,4500,640,58,6498,2243,14,1,0
"2249","Rio de Janeiro",22,1,1,0,"2","not acept","not furnished",50,1322,59,16,1447,2249,2,0,0
"2250","Porto Alegre",60,2,1,0,"1","acept","not furnished",114,980,42,15,1151,2250,1,1,0
"2252","Porto Alegre",65,1,1,1,"3","acept","not furnished",426,980,38,15,1459,2252,3,1,0
"2255","Porto Alegre",98,3,2,2,"4","not acept","not furnished",700,2550,100,38,3388,2255,4,0,0
"2257","Porto Alegre",48,2,1,1,"2","acept","not furnished",300,800,35,12,1147,2257,2,1,0
"2258","Campinas",48,1,1,1,"4","acept","furnished",490,1500,42,20,2052,2258,4,1,1
"2260","Belo Horizonte",197,4,2,3,"3","acept","not furnished",850,4250,400,57,5557,2260,3,1,0
"2261","Belo Horizonte",200,4,1,2,"4","acept","not furnished",345,2500,209,34,3088,2261,4,1,0
"2262","Belo Horizonte",110,3,2,0,"0","acept","not furnished",0,2500,0,41,2541,2262,0,1,0
"2264","Belo Horizonte",120,3,1,1,"6","not acept","not furnished",1140,1900,140,26,3206,2264,6,0,0
"2265","Porto Alegre",40,1,1,0,"3","acept","furnished",370,1084,46,16,1516,2265,3,1,1
"2269","Porto Alegre",59,2,1,0,"3","acept","not furnished",326,1000,42,15,1383,2269,3,1,0
"2270","Rio de Janeiro",35,1,1,0,"3","acept","not furnished",0,791,30,11,832,2270,3,1,0
"2278","Belo Horizonte",100,3,2,1,"2","acept","not furnished",745,1300,119,18,2182,2278,2,1,0
"2280","Campinas",87,2,1,1,"4","acept","not furnished",780,1200,52,16,2048,2280,4,1,0
"2282","Rio de Janeiro",300,4,4,2,"3","acept","not furnished",4100,12750,1334,165,18350,2282,3,1,0
"2283","Porto Alegre",48,1,1,0,"4","acept","not furnished",340,700,300,11,1351,2283,4,1,0
"2285","Campinas",71,2,1,1,"7","acept","not furnished",670,977,114,13,1774,2285,7,1,0
"2294","Rio de Janeiro",102,3,2,1,"2","acept","not furnished",1900,1350,140,18,3408,2294,2,1,0
"2295","Campinas",60,2,1,1,"1","not acept","furnished",385,2848,64,37,3334,2295,1,0,1
"2296","Porto Alegre",60,1,1,0,"1","acept","not furnished",230,1286,70,19,1605,2296,1,1,0
"2297","Rio de Janeiro",50,1,1,0,"10","acept","not furnished",520,1620,0,21,2161,2297,10,1,0
"2302","Campinas",68,3,1,1,"2","acept","not furnished",555,1100,50,14,1719,2302,2,1,0
"2305","Rio de Janeiro",41,1,1,0,"9","acept","not furnished",800,1700,85,22,2607,2305,9,1,0
"2306","Rio de Janeiro",106,2,2,1,"2","acept","not furnished",900,2850,296,37,4083,2306,2,1,0
"2307","Belo Horizonte",150,4,2,3,"1","acept","furnished",900,3300,340,44,4584,2307,1,1,1
"2308","Belo Horizonte",135,4,2,2,"4","acept","not furnished",450,3500,117,47,4114,2308,4,1,0
"2310","Belo Horizonte",360,3,1,3,"0","acept","not furnished",0,1500,142,25,1667,2310,0,1,0
"2312","Rio de Janeiro",100,2,2,1,"6","acept","furnished",2400,8900,380,115,11800,2312,6,1,1
"2313","Belo Horizonte",50,1,1,2,"4","acept","not furnished",300,1200,0,16,1516,2313,4,1,0
"2323","Rio de Janeiro",108,3,2,2,"3","acept","not furnished",2000,4500,442,58,7000,2323,3,1,0
"2325","Campinas",210,6,3,0,"0","acept","not furnished",0,4200,0,64,4264,2325,0,1,0
"2326","Belo Horizonte",140,4,2,2,"4","acept","not furnished",995,4200,462,56,5713,2326,4,1,0
"2328","Campinas",66,2,1,1,"0","acept","not furnished",265,1100,34,14,1413,2328,0,1,0
"2334","Belo Horizonte",160,4,1,1,"0","acept","not furnished",0,2150,0,36,2186,2334,0,1,0
"2335","Rio de Janeiro",25,1,1,0,"1","acept","not furnished",50,700,0,10,760,2335,1,1,0
"2338","Campinas",400,5,7,4,"5","acept","not furnished",3200,7900,888,101,12090,2338,5,1,0
"2339","Belo Horizonte",100,3,2,1,"0","acept","not furnished",0,14500,423,238,15160,2339,0,1,0
"2342","Porto Alegre",50,2,1,0,"0","acept","not furnished",100,700,100,11,911,2342,0,1,0
"2345","Rio de Janeiro",180,3,2,1,"2","acept","not furnished",2000,4800,377,62,7239,2345,2,1,0
"2347","Campinas",54,1,1,1,"5","acept","furnished",751,2350,127,30,3258,2347,5,1,1
"2349","Campinas",350,4,5,4,"0","acept","not furnished",680,8000,417,121,9218,2349,0,1,0
"2353","Rio de Janeiro",60,2,1,0,"6","not acept","furnished",800,2900,92,38,3830,2353,6,0,1
"2355","Belo Horizonte",450,4,4,5,"10","not acept","not furnished",2200,13500,1130,180,17010,2355,10,0,0
"2360","Belo Horizonte",45,2,1,1,"5","not acept","not furnished",227,750,28,10,1015,2360,5,0,0
"2363","Campinas",70,1,2,1,"2","not acept","not furnished",450,1000,35,13,1498,2363,2,0,0
"2365","Campinas",87,2,1,0,"10","acept","not furnished",415,1100,82,14,1611,2365,10,1,0
"2367","Rio de Janeiro",50,1,1,1,"2","acept","not furnished",170,1320,0,18,1508,2367,2,1,0
"2381","Porto Alegre",61,1,1,1,"13","acept","furnished",1237,3800,104,56,5197,2381,13,1,1
"2387","Belo Horizonte",25,1,1,1,"1","not acept","not furnished",0,550,84,8,642,2387,1,0,0
"2388","Porto Alegre",360,5,3,3,"0","acept","not furnished",0,3500,0,63,3563,2388,0,1,0
"2391","Belo Horizonte",340,3,5,5,"0","acept","not furnished",0,4600,211,76,4887,2391,0,1,0
"2397","Belo Horizonte",60,2,1,1,"3","acept","not furnished",122,1325,0,18,1465,2397,3,1,0
"2398","Belo Horizonte",46335,4,8,5,"11","acept","furnished",960,8500,646,114,10220,2398,11,1,1
"2399","Belo Horizonte",700,3,3,8,"0","acept","not furnished",0,10000,807,164,10970,2399,0,1,0
"2401","Belo Horizonte",21,1,1,1,"2","not acept","not furnished",1000,980,0,14,1994,2401,2,0,0
"2404","Belo Horizonte",50,1,1,1,"12","not acept","furnished",571,1500,100,20,2191,2404,12,0,1
"2407","Belo Horizonte",20,1,1,1,"0","acept","furnished",0,1100,0,15,1115,2407,0,1,1
"2409","Rio de Janeiro",49,1,2,1,"10","acept","not furnished",761,2400,133,31,3325,2409,10,1,0
"2410","Porto Alegre",440,3,2,3,"6","not acept","not furnished",100,10500,84,154,10840,2410,6,0,0
"2411","Porto Alegre",59,2,1,1,"2","acept","not furnished",382,900,62,14,1358,2411,2,1,0
